Nutrient	Mean Difference	P-Value
Tocopherol, delta	0.28	0.000
18:2 i	0.28	0.000
18:2 CLAs	0.27	0.000
17:0	0.27	0.000
Fatty acids, total trans-monoenoic	0.27	0.000
18:1 t	0.27	0.000
Fatty acids, total trans	0.25	0.000
Sugars, total	0.25	0.000
Tocotrienol, alpha	0.25	0.000
Tocopherol, gamma	0.25	0.000
Fatty acids, total trans-polyenoic	0.24	0.000
Vitamin A, RAE	0.24	0.000
Sucrose	0.22	0.000
Tocotrienol, delta	0.22	0.000
Tocotrienol, gamma	0.22	0.000
Carotene, alpha	0.22	0.000
Tocopherol, beta	0.22	0.000
Tocotrienol, beta	0.22	0.000
Manganese, Mn	0.21	0.000
Maltose	0.21	0.000
Carbohydrate, by difference	0.21	0.000
Vitamin A, IU	0.21	0.000
Carotene, beta	0.20	0.000
8:0	0.20	0.000
Fatty acids, total saturated	0.20	0.001
24:0	0.19	0.000
10:0	0.19	0.001
18:3 n-3 c,c,c (ALA)	0.18	0.002
Copper, Cu	0.18	0.002
Glucose (dextrose)	0.18	0.000
Fructose	0.18	0.000
12:0	0.17	0.002
14:0	0.17	0.002
Energy	0.17	0.004
6:0	0.15	0.008
Starch	0.15	0.015
22:0	0.14	0.004
Fiber, total dietary	0.14	0.010
Total lipid (fat)	0.14	0.016
Magnesium, Mg	0.13	0.019
16:0	0.12	0.018
Selenium, Se	0.12	0.036
20:1	0.11	0.027
Iron, Fe	0.11	0.032
Thiamin	0.11	0.029
20:5 n-3 (EPA)	0.11	0.042
Niacin	0.11	0.026
20:4 undifferentiated	0.11	0.039
Pantothenic acid	0.10	0.032
Calcium, Ca	0.10	0.042
Vitamin B-6	0.10	0.047
18:0	0.10	0.042
18:1 c	0.09	0.031
18:3 n-6 c,c,c	0.09	0.039
Retinol	0.08	0.042
Hydroxyproline	-0.07	0.953
Vitamin D2 (ergocalciferol)	-0.07	0.952
Cryptoxanthin, beta	-0.10	0.967
Lutein + zeaxanthin	-0.10	0.977
