r	Batter Fried Fish	Chicken Masala	Lasagne Bolognaise	Baked Chicken	Chilli Cauliflower and Broccoli	Chicken Satay	Mulligatawny	Beef Stir Fry	Traditional Roast Chicken	Chilli Chicken	Rajma Masala	Chicken Quesadilla	Yellow Dal Fry	Year	Country of Origin
1/18/2014 21:14:08	5	4	5	5	1	4	4	3	4	2	2	5	2	2016	Ukraine
1/18/2014 21:19:55	3	2	5	4	5	5	5	4	4	5	3	5	4	2016	Hungary
1/18/2014 21:25:53	4	3	1	2	1	4	1	2	2	3	2	5	3	2017	Pakistan
1/18/2014 21:27:20	1	5	1	5	5	5	1	5	5	5	5	1	1	2016	UAE
1/18/2014 21:33:38	1	3	3	3	2	4	2	2	4	5	3	3	3	2017	Pakistan
1/18/2014 21:34:46	1	1	1	3	1	3	2	1	3	3	1	5	4	2016	Pakistan
1/18/2014 21:35:31	1	3	2	3	5	4	3	2	2	4	4	3	4	2016	USA
1/18/2014 21:36:33	3	4	5	4	1	5	2	3	5	3	1	5	3	2014	India
1/18/2014 21:46:51	3	3	3	3	2	4	2	3	3	3	3	4	3	2015	Philippines
1/18/2014 21:49:22	4	1	1	1	3	1	1	1	1	1	2	1	4	2017	Malaysia
1/18/2014 22:03:19	2	2	1	1	1	5	5	1	1	3	5	3	4	2016	United States
1/18/2014 22:11:27	4	4	2	2	1	3	2	4	4	5	2	4	4	2014	Pakistan 
1/18/2014 22:32:53	3	2	3	2	3	2	1	2	2	3	2	3	2	2017	India
1/18/2014 22:32:56	3	1	4	1	4	3	1	3	3	1	3	5	1	2017	Zimbabwe
1/18/2014 22:34:48	5	3	1	2	2	5	2	2	2	5	2	5	5	2015	Kuwait
1/18/2014 22:38:23	3	5	5	4	3	5	2	3	5	4	4	5	2	2017	Nigeria
1/18/2014 22:39:48	5	3	5	5	3	4	2	3	5	2	2	5	3	2015	~
1/18/2014 22:44:32	1	1	3	3	5	4	4	1	4	1	3	5	3	2017	Croatia
1/18/2014 22:46:13	2	1	1	1	1	4	1	1	1	1	1	3	1	2014	USA
1/18/2014 22:53:20	3	4	3	3	3	4	3	3	4	2	3	4	4	2014	South Africa
1/18/2014 22:53:25	4	2	2	5	5	3	2	2	3	5	5	5	3	2015	Ethiopia
1/18/2014 22:58:53	3	3	4	4	1	5	3	3	5	4	2	5	2	2017	Senegal
1/18/2014 23:00:57	3	4	4	3	2	4	4	3	3	3	3	5	5	2014	Colombia
1/18/2014 23:06:54	4	4	4	2	2	4	2	4	4	4	3	4	2	2016	India
1/18/2014 23:44:59	2	2	4	4	2	2	2	4	4	2	2	4	2	2015	TAIWAN
1/18/2014 23:47:55	1	3	3	3	3	3	3	4	5	5	1	4	1	2016	Oman
1/18/2014 23:49:28	4	3	3	4	5	4	1	4	3	3	1	5	2	2016	Peru
1/18/2014 23:49:56	2	2	3	4	1	4	3	4	4	4	1	4	2	2016	Sénégal
1/18/2014 23:59:49	3	3	3	2	4	1	1	1	3	2	1	4	5	2016	Malaysia/ Singapore
