"Ingredient ID",5004,4053,1001,11215,2036,14106,6172,11283,11357
"Ingredient Description","Chicken, broilers or fryers, meat and skin and giblets and neck, roasted","Oil, olive, salad or cooking","Butter, salted","Garlic, raw","Spices, rosemary, dried","Alcoholic beverage, wine, table, white","Soup, stock, chicken, home-prepared","Onions, cooked, boiled, drained, without salt","Potatoes, white, flesh and skin, baked"
"Portion size","100g","tablespoon","100g","clove","100g","fl oz","cup","small","potato small (1-3/4"" to 2-1/2"" dia)"
"Quantity",20,1,0.2,4,1e-08,4,1,12,12
"18:2 n-6 c,c",0,0,0.43320000000000003,0,0,0,0,0,0,0.43320000000000003
"8:0",0.0,0.0,0.23799999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.23799999999999996
"15:0",0,0,0,0,1.31e-09,0,0,0,0,1.31e-09
"Caffeine",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Folate, food",580.0,0.0,0.6000000000000001,0.36,3.0700000000000003e-06,1.176,12.0,108.0,629.28,1331.41600307
"18:3 undifferentiated",2.2,0.102735,0.063,0.0024,1.0760000000000002e-08,0.0,0.021599999999999998,0.0288,0.14903999999999998,2.56757501076
"Carbohydrate, by difference",1.2,0.0,0.012,3.9672,6.406000000000001e-07,3.0576,8.472,73.08000000000001,349.0848,438.8736006406
"Serine",19.22,0.0,0.0092,0.0228,0,0,0,0.288,1.25856,20.79856
"Glutamic acid",78.34,0.0,0.0356,0.0966,0,0,0,1.584,5.9284799999999995,85.98468
"Sodium, Na",1580.0,0.27,128.6,2.04,5e-07,5.88,343.2,21.6,115.92,2197.5100005
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
"Phosphorus, P",3640.0,0.0,4.800000000000001,18.36,7e-07,21.167999999999996,64.8,252.0,1242.0,5243.1280007000005
"Tocotrienol, gamma",0,0,0.0,0,0,0,0,0,0,0.0
"Fluoride, F",0,0,0.5599999999999999,0,0,237.55199999999996,0,0,0,238.11199999999997
"Histidine",15.46,0.0,0.0046,0.013560000000000001,0,0,0,0.15839999999999999,0.5796000000000001,16.216160000000002
"4:0",0.0,0.0,0.6452,0.0,0.0,0.0,0.0,0.0,0.0,0.6452
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,12.1128,0.0,0.0,0.0,12.1128
"18:0",15.4,0.26365500000000003,1.9998000000000002,0.0,6e-09,0.0,0.1344,0.0144,0.04968000000000001,17.861935005999996
"Theobromine",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Potassium, K",4240.0,0.135,4.800000000000001,48.12,9.55e-06,83.49600000000001,252.0,1195.2,9008.64,14832.39100955
"Vitamin E (alpha-tocopherol)",6.6,1.93725,0.46399999999999997,0.0096,0,0.0,0.072,0.144,0.6624,9.88925
"Lutein + zeaxanthin",0.0,0.0,0.0,1.92,0,0.0,2.4,28.8,496.8,529.9200000000001
"Betaine",114.0,0.013500000000000002,0.06,0,0,0,0,0,3.3120000000000003,117.3855
"Riboflavin",4.48,0.0,0.0068000000000000005,0.0132,4.28e-09,0.01764,0.20400000000000001,0.16560000000000002,0.7120799999999999,5.599320004280002
"Sucrose",0,0,0,0,0,0,0,7.920000000000001,6.6240000000000006,14.544
"Maltose",0,0,0,0,0,0,0,0.0,0.0,0.0
"Cholesterol",2140.0,0.0,43.0,0.0,0.0,0.0,7.2,0.0,0.0,2190.2
"Folate, total",580.0,0.0,0.6000000000000001,0.36,3.0700000000000003e-06,1.176,12.0,108.0,629.28,1331.41600307
"Alanine",31.04,0.0,0.0058000000000000005,0.01584,0,0,0,0.2736,1.0598400000000001,32.39508
"Fatty acids, total trans",0,0,0.6556000000000001,0,0,0,0,0,0,0.6556000000000001
"Phenylalanine",21.0,0.0,0.0082,0.021959999999999997,0,0,0,0.252,1.3744800000000001,22.656639999999996
"Isoleucine",26.6,0.0,0.0102,0.02604,0,0,0,0.3456,1.12608,28.10792
"16:1 c",0,0,0.19220000000000004,0,0,0,0,0,0,0.19220000000000004
"Niacin",158.16,0.0,0.008400000000000001,0.08399999999999999,1e-08,0.12700799999999998,3.8016,1.188,25.30368,188.67268801
"Thiamin",1.26,0.0,0.001,0.024000000000000004,5.14e-09,0.00588,0.084,0.3024,0.7948800000000001,2.47216000514
"Selenium, Se",318.0,0.0,0.2,1.7039999999999997,4.599999999999999e-08,0.1176,5.28,4.319999999999999,8.28,337.90160004599994
"Leucine",39.1,0.0,0.0166,0.03696,0,0,0,0.3456,1.6560000000000001,41.155159999999995
"Vitamin E, added",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
"Sugars, total",0.0,0.0,0.012,0.12,0,1.12896,3.7920000000000003,34.056000000000004,25.336799999999997,64.44576
"Cystine",7.16,0.0,0.0016,0.0078000000000000005,0,0,0,0.1728,0.41400000000000003,7.756199999999999
"Tyrosine",17.2,0.0,0.0082,0.00972,0,0,0,0.24480000000000002,0.81144,18.274160000000002
"Vitamin C, total ascorbic acid",10.0,0.0,0.0,3.7439999999999998,6.119999999999999e-07,0.0,0.48,37.440000000000005,208.65599999999998,260.320000612
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Arginine",33.8,0.0,0.006200000000000001,0.07608000000000001,0,0,0,1.3175999999999999,1.70568,36.905559999999994
"Water",1202.2,0.0,3.174,7.0296,9.31e-08,102.14735999999999,221.16,632.592,1249.1208000000001,3417.4237600931
"Valine",26.12,0.0,0.0114,0.03492,0,0,0,0.2232,1.7388,28.12832
"Threonine",22.22,0.0,0.0076,0.01884,0,0,0,0.2376,1.12608,23.610120000000002
"18:2 CLAs",0,0,0.053399999999999996,0,0,0,0,0,0,0.053399999999999996
"Retinol",3820.0,0.0,134.20000000000002,0.0,0.0,0.0,2.4,0.0,0.0,3956.6
"18:1 c",0,0,3.3956000000000004,0,0,0,0,0,0,3.3956000000000004
"Lactose",0,0,0,0,0,0,0,0.0,0.0,0.0
"18:1 t",0,0,0.5964,0,0,0,0,0,0,0.5964
"Magnesium, Mg",460.0,0.0,0.4,3.0,2.2e-06,11.76,9.6,79.2,447.12,1011.0800022
"Campesterol",0,0,0.0,0,0,0,0,0,0,0.0
"Vitamin D",20.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
"Protein",535.6,0.0,0.17,0.7632000000000001,4.88e-08,0.08232,6.047999999999999,9.792,34.776,587.2315200487999
"Aspartic acid",47.9,0.0,0.0128,0.05868,0,0,0,0.5327999999999999,8.1144,56.61868
"6:0",0.0,0.0,0.4014,0.0,0.0,0.0,0.0,0.0,0.0,0.4014
"Vitamin B-12",18.799999999999997,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,18.833999999999996
"Energy",4680.0,119.34,143.4,17.88,3.31e-06,96.43199999999999,86.4,316.8,1556.64,7016.892003309999
"16:1 undifferentiated",14.2,0.169425,0.19220000000000004,0.0,1.7000000000000001e-09,0.0,0.21359999999999998,0.0,0.016560000000000002,14.7917850017
"17:0",0,0.00297,0.11200000000000002,0,9.4e-10,0,0,0,0,0.11497000094000001
"17:1",0,0.016875,0,0,0,0,0,0,0,0.016875
"Vitamin D (D2 + D3)",0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
"Lysine",43.16,0.0,0.013400000000000002,0.032760000000000004,0,0,0,0.468,1.8050400000000002,45.4792
"16:0",54.0,1.52415,4.3394,0.01044,4.9909999999999995e-08,0.0,0.6048,0.2016,0.23184000000000002,60.912230049909994
"10:0",0.0,0.0,0.5058,0.00024,5e-10,0.0,0.0,0.0,0.016560000000000002,0.5226000005000001
"Fatty acids, total trans-polyenoic",0,0,0.0592,0,0,0,0,0,0,0.0592
"Vitamin B-6",7.6,0.0,0.0006000000000000001,0.1482,1.74e-08,0.0588,0.1464,0.9288,3.49416,12.376960017399998
"Methionine",14.139999999999997,0.0,0.004200000000000001,0.00912,0,0,0,0.07919999999999999,0.5299200000000001,14.762439999999998
"Tocopherol, gamma",0,0.11205,0.0,0,0,0,0,0.0,0.0,0.11205
"Carotene, beta",0.0,0.0,31.6,0.6,0,0.0,0.0,7.2,99.36,138.76
"14:1",0,0.0,0,0,5.9e-10,0,0,0,0,5.9e-10
"14:0",2.0,0.0,1.4872,0.0,3.15e-09,0.0,0.0192,0.0072,0.016560000000000002,3.5301600031500002
"Pantothenic acid",22.56,0.0,0.022000000000000002,0.07151999999999999,0,0.052919999999999995,0,0.8136,6.34248,29.862519999999996
"Tocopherol, beta",0,0.01485,0.0,0,0,0,0,0.0,0.0,0.01485
"Choline, total",1466.0,0.0405,3.76,2.784,0,5.056799999999999,22.08,48.96,238.46400000000003,1787.1453000000001
"Manganese, Mn",0.62,0.0,0.0,0.20064,1.867e-08,0.137592,0,1.1016,3.1298399999999997,5.18967201867
"18:3 n-3 c,c,c (ALA)",0,0,0.063,0,0,0,0,0,0,0.063
"Vitamin D3 (cholecalciferol)",0.0,0,0.30000000000000004,0,0,0,0,0,0,0.30000000000000004
"Lycopene",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Fructose",0,0,0,0,0,0,0,10.368000000000002,5.961600000000001,16.329600000000003
"Glucose (dextrose)",0,0,0,0,0,0,0,15.768000000000002,10.4328,26.2008
"Vitamin A, IU",12720.0,0.0,499.8,1.08,3.128e-05,0.0,7.2,14.4,165.6,13408.08003128
"22:6 n-3 (DHA)",0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
"Vitamin A, RAE",3820.0,0.0,136.8,0.0,1.5599999999999999e-06,0.0,2.4,0.0,16.56,3975.76000156
"Fatty acids, total trans-monoenoic",0,0,0.5964,0,0,0,0,0,0,0.5964
"Tryptophan",5.96,0.0,0.0024000000000000002,0.00792,0,0,0,0.144,0.34776,6.46208
"20:5 n-3 (EPA)",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
"22:1 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Folic acid",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phytosterols",0,29.835,0,0,5.800000000000001e-07,0,0,129.6,0,159.43500058
"Stigmasterol",0,0,0.0,0,0,0,0,0,0,0.0
"20:0",0,0.055889999999999995,0.027600000000000003,0,3.79e-09,0,0,0,0,0.08349000378999999
"20:1",2.6,0.041985,0.020000000000000004,0.0,1.25e-09,0.0,0.0096,0.0,0.0,2.67158500125
"Fatty acids, total polyunsaturated",58.0,1.420605,0.6086,0.02988,2.339e-08,0.0,0.5112,0.5256,0.6127199999999999,61.70860502339001
"Folate, DFE",580.0,0.0,0.6000000000000001,0.36,3.0700000000000003e-06,1.176,12.0,108.0,629.28,1331.41600307
"Tocotrienol, alpha",0,0,0.0,0,0,0,0,0,0,0.0
"12:0",0.4,0.0,0.5174000000000001,0.0,3.7e-10,0.0,0.0,0.0,0.04968000000000001,0.9670800003700002
"18:4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iron, Fe",33.199999999999996,0.0756,0.004,0.204,2.925e-07,0.31751999999999997,0.504,1.7279999999999998,10.5984,46.63152029249999
"Tocotrienol, beta",0,0,0.0,0,0,0,0,0,0,0.0
"Proline",26.32,0.0,0.0164,0.012000000000000002,0,0,0,0.3024,1.0598400000000001,27.71064
"Calcium, Ca",300.0,0.135,4.800000000000001,21.72,1.28e-05,10.583999999999998,7.2,158.4,165.6,668.4390128
"24:0",0,0.0,0,0,2.9399999999999998e-09,0,0,0,0,2.9399999999999998e-09
"Tocopherol, delta",0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
"18:2 undifferentiated",50.0,1.31787,0.5456000000000001,0.02748,1.16e-08,0.0,0.4895999999999999,0.504,0.44712,53.331670011599996
"Starch",0,0,0,0,0,0,0,0,297.9144,297.9144
"Fiber, total dietary",0.0,0.0,0.0,0.252,4.2600000000000003e-07,0.0,0.0,10.079999999999998,34.776,45.108000426000004
"Fatty acids, total monounsaturated",103.4,9.849734999999999,4.2042,0.00132,3.014e-08,0.0,1.3967999999999998,0.19440000000000002,0.033120000000000004,119.07957503014
"Beta-sitosterol",0,0,0.8,0,0,0,0,0,0,0.8
"22:0",0,0.017415,0,0,3.87e-09,0,0,0,0,0.01741500387
"Copper, Cu",1.6,0.0,0.0,0.03588,5.5000000000000004e-09,0.004704,0.1296,0.4824,2.10312,4.3557040055
"Ash",18.0,0.0,0.42199999999999993,0.18,6.530000000000001e-08,0.2352,1.5119999999999998,3.168,20.5344,44.0516000653
"Dihydrophylloquinone",0,0.0,0,0,0,0,0,0,0.0,0.0
"Galactose",0,0,0,0,0,0,0,0.0,0.0,0.0
"Zinc, Zn",43.2,0.0,0.018,0.1392,3.23e-08,0.14112,0.336,1.5119999999999998,5.795999999999999,51.142320032300006
"20:4 undifferentiated",2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
"Carotene, alpha",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"18:1 undifferentiated",85.19999999999999,9.621315000000001,3.9921999999999995,0.00132,2.6600000000000003e-08,0.0,1.1616,0.19440000000000002,0.016560000000000002,100.1873950266
"Glycine",34.900000000000006,0.0,0.0036,0.024000000000000004,0,0,0,0.41040000000000004,0.96048,36.298480000000005
"Fatty acids, total saturated",74.0,1.86408,10.273600000000002,0.01068,7.371e-08,0.0,0.7704000000000001,0.2232,0.36432000000000003,87.50628007371
"Tocotrienol, delta",0,0,0.0,0,0,0,0,0,0,0.0
"Total lipid (fat)",265.4,13.5,16.222,0.06,1.522e-07,0.0,2.88,1.368,2.484,301.91400015219995
"22:5 n-3 (DPA)",0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
"Vitamin K (phylloquinone)",48.0,8.127,1.4,0.204,0,0.4704,0.48,3.6,44.71200000000001,106.99340000000001
"18:2 i",0,0,0.0592,0,0,0,0,0,0,0.0592
