"Nutrient","Mean Difference","P-Value"
"Vitamin A, IU",6853.222214348853,0.0002
"Carotene, beta",3807.3671037039057,0.0003
"Energy",581.4837007220549,0.0046
"Vitamin A, RAE",479.2979567095922,0.0002
"Carotene, alpha",384.5713235214397,0.0
"Retinol",166.50953625328918,0.0393
"Carbohydrate, by difference",68.30753348585941,0.0005
"Calcium, Ca",66.7572314186163,0.0439
"Magnesium, Mg",64.53662041595248,0.0218
"Sugars, total",41.39897157209578,0.0
"Selenium, Se",30.955086098716293,0.0381
"Sucrose",30.05049307439026,0.0
"Starch",22.71971831192065,0.0175
"Total lipid (fat)",21.96894902829618,0.0158
"Fatty acids, total saturated",14.336522618971802,0.0002
"Niacin",10.493146638534341,0.025
"12:0",5.836055923001061,0.0023
"Glucose (dextrose)",5.076842145805526,0.0001
"Fiber, total dietary",4.509350397525598,0.0095
"Fructose",4.332277912586634,0.0001
"16:0",3.675305215226361,0.0166
"Iron, Fe",2.644093833420719,0.0382
"14:0",2.2273271116033455,0.0022
"Maltose",1.7701373014582327,0.0004
"18:1 c",1.545788100639669,0.031
"Pantothenic acid",1.527630034290694,0.0321
"Manganese, Mn",1.5027357149879448,0.0
"Tocotrienol, beta",0.9366627310673831,0.0002
"8:0",0.9227024099150433,0.0004
"18:0",0.8677034042826648,0.0419
"10:0",0.7748631165536081,0.0004
"Vitamin B-6",0.6540157837046983,0.0452
"Tocopherol, gamma",0.509627113351765,0.0
"Copper, Cu",0.3968191201491422,0.0022
"Tocotrienol, gamma",0.3035735672467067,0.0
"Tocotrienol, alpha",0.2561486121893101,0.0
"Thiamin",0.2033179723813574,0.0313
"20:1",0.15351940174628642,0.0275
"Tocotrienol, delta",0.1440993982761424,0.0002
"Fatty acids, total trans",0.13538193032245882,0.0002
"20:4 undifferentiated",0.13240503995229586,0.0362
"Fatty acids, total trans-monoenoic",0.1264640699300698,0.0
"18:1 t",0.12641981341139463,0.0
"Tocopherol, beta",0.10466441345476218,0.0001
"6:0",0.09835853977236297,0.0069
"18:3 n-3 c,c,c (ALA)",0.07258855572721859,0.0007
"Tocopherol, delta",0.06064274678809561,0.0
"22:0",0.027601599379388005,0.0041
"17:0",0.024055689226884565,0.0001
"Fatty acids, total trans-polyenoic",0.014827359679080611,0.0002
"24:0",0.011887528708751548,0.0
"18:2 i",0.011559901555808532,0.0
"18:2 CLAs",0.011392261505935922,0.0
"20:5 n-3 (EPA)",0.011148404618637201,0.0417
"18:3 n-6 c,c,c",0.0017387671979183614,0.0434
"21:5",0.0,1.0
"Menaquinone-4",0.0,1.0
"18:3i",0.0,1.0
"Vitamin E, added",0.0,1.0
"Theobromine",0.0,1.0
"Vitamin B-12, added",0.0,1.0
"22:1 t",0.0,1.0
"15:1",0.0,1.0
"Caffeine",0.0,1.0
"13:0",-3.212863880305744e-05,0.9537
"Vitamin D2 (ergocalciferol)",-0.017211470699842794,0.9554
"Cryptoxanthin, beta",-11.884288719032874,0.9685
"Lutein + zeaxanthin",-360.36320388139086,0.9796
